city,air.pb.metric.tons,aggr.assault.per.million
Atlanta,421,1029
Atlanta,429,937
Atlanta,444,887
Atlanta,457,533
Atlanta,461,1012
Atlanta,454,848
Atlanta,484,431
Atlanta,519,687
Atlanta,528,1232
Atlanta,629,717
Atlanta,663,770
Atlanta,704,816
Atlanta,720,1294
Atlanta,756,875
Atlanta,766,1207
Atlanta,769,1297
Atlanta,774,1097
Atlanta,776,1117
Atlanta,851,1294
Atlanta,886,1397
Atlanta,931,1371
Atlanta,1013,1646
Atlanta,1061,1542
Atlanta,1127,1619
Atlanta,1175,1628
Atlanta,1193,1797
Atlanta,1243,1794
Atlanta,1262,2023
Atlanta,1342,2140
Atlanta,1348,2010
Atlanta,1420,2301
Atlanta,1480,2121
Atlanta,1497,2226
Atlanta,1513,2246
Atlanta,1503,2190
Atlanta,1516,2240
Chicago,849,649
Chicago,867,626
Chicago,919,370
Chicago,896,611
Chicago,927,683
Chicago,975,334
Chicago,1049,402
Chicago,1064,845
Chicago,1268,398
Chicago,1337,354
Chicago,1417,336
Chicago,1455,342
Chicago,1523,335
Chicago,1544,246
Chicago,1560,443
Chicago,1558,352
Chicago,1547,276
Chicago,1712,705
Chicago,1783,876
Chicago,1874,969
Chicago,2041,914
Chicago,2137,1116
Chicago,2269,1131
Chicago,2368,994
Chicago,2400,1318
Chicago,2506,1312
Chicago,2537,1200
Chicago,2700,1257
Chicago,2714,1345
Chicago,2858,1474
Chicago,2978,1439
Chicago,3013,1502
Chicago,3023,1425
Chicago,3050,1452
Chicago,915,619
Chicago,3041,1427
Indianapolis,214,464
Indianapolis,226,504
Indianapolis,231,467
Indianapolis,231,168
Indianapolis,233,463
Indianapolis,246,142
Indianapolis,264,174
Indianapolis,268,500
Indianapolis,319,221
Indianapolis,337,275
Indianapolis,357,239
Indianapolis,367,249
Indianapolis,390,408
Indianapolis,384,263
Indianapolis,392,310
Indianapolis,393,406
Indianapolis,431,456
Indianapolis,449,512
Indianapolis,472,513
Indianapolis,514,472
Indianapolis,538,474
Indianapolis,572,568
Indianapolis,597,603
Indianapolis,631,658
Indianapolis,639,759
Indianapolis,681,729
Indianapolis,720,823
Indianapolis,750,899
Indianapolis,762,971
Indianapolis,760,901
Indianapolis,768,815
Indianapolis,766,968
Indianapolis,219,463
Minneapolis,349,541
Minneapolis,377,289
Minneapolis,381,500
Minneapolis,401,316
Minneapolis,431,338
Minneapolis,437,491
Minneapolis,521,280
Minneapolis,549,307
Minneapolis,582,286
Minneapolis,598,335
Minneapolis,626,288
Minneapolis,634,319
Minneapolis,636,348
Minneapolis,639,427
Minneapolis,641,306
Minneapolis,703,464
Minneapolis,733,443
Minneapolis,770,653
Minneapolis,838,518
Minneapolis,878,722
Minneapolis,932,589
Minneapolis,972,660
Minneapolis,986,777
Minneapolis,1030,728
Minneapolis,1042,663
Minneapolis,1109,670
Minneapolis,1114,820
Minneapolis,1223,806
Minneapolis,1237,661
Minneapolis,1242,797
Minneapolis,1250,743
Minneapolis,1252,652
New Orleans,130,463
New Orleans,138,290
New Orleans,141,349
New Orleans,142,429
New Orleans,150,340
New Orleans,161,390
New Orleans,163,442
New Orleans,195,351
New Orleans,206,319
New Orleans,219,363
New Orleans,224,487
New Orleans,235,510
New Orleans,238,438
New Orleans,240,520
New Orleans,240,467
New Orleans,264,558
New Orleans,275,553
New Orleans,289,620
New Orleans,315,476
New Orleans,330,594
New Orleans,351,606
New Orleans,366,593
New Orleans,371,774
New Orleans,388,721
New Orleans,393,663
New Orleans,418,780
New Orleans,420,938
New Orleans,442,909
New Orleans,461,737
New Orleans,467,870
New Orleans,468,961
New Orleans,471,845
New Orleans,472,812
New Orleans,239,481
San Diego,329,366
San Diego,356,150
San Diego,360,414
San Diego,378,134
San Diego,406,175
San Diego,413,409
San Diego,491,178
San Diego,518,202
San Diego,550,202
San Diego,564,314
San Diego,591,202
San Diego,598,292
San Diego,600,239
San Diego,605,260
San Diego,664,296
San Diego,691,425
San Diego,728,279
San Diego,791,407
San Diego,828,400
San Diego,880,495
San Diego,919,419
San Diego,931,569
San Diego,972,514
San Diego,984,507
San Diego,1048,547
San Diego,1051,574
San Diego,1108,643
San Diego,1155,705
San Diego,1168,693
San Diego,1172,639
San Diego,1181,713
San Diego,1183,768
San Diego,604,256
